calc_time,funding_interval_hours,last_funding_rate
1665216000000,8,6.993e-05
1665244800000,8,8.939e-05
1665273600000,8,3.902e-05
1665302400000,8,1.819e-05
1665331200000,8,-5.165e-05
1665360000000,8,4.749e-05
1665388800000,8,2.784e-05
1665417600000,8,2.352e-05
1665446400000,8,7.133e-05
1665475200000,8,3.552e-05
1665504000000,8,4.405e-05
1665532800000,8,8.85e-05
1665561600000,8,-1.598e-05
1665590400000,8,7.18e-06
1665619200000,8,-0.00018211
1665648000000,8,8.18e-05
1665676800000,8,-0.00010154
1665705600000,8,2e-06
1665734400000,8,0.0001
1665763200000,8,0.0001
1665792000000,8,5.95e-05
1665820800000,8,-5.48e-06
1665849600000,8,-8.01e-06
1665878400000,8,2.73e-06
1665907200000,8,-1.934e-05
1665936000000,8,1.261e-05
1665964800000,8,7.5e-06
1665993600000,8,3.595e-05
1666022400000,8,5.61e-05
1666051200000,8,6.43e-05
1666080000000,8,5.818e-05
1666108800000,8,8.2e-05
1666137600000,8,6.911e-05
1666166400000,8,0.0001
1666195200000,8,3.885e-05
1666224000000,8,1.115e-05
1666252800000,8,6.032e-05
1666281600000,8,-5.194e-05
1666310400000,8,0.0001
1666339200000,8,1.939e-05
1666368000000,8,2.595e-05
1666396800000,8,2.568e-05
1666425600000,8,-7.96e-06
1666454400000,8,-3.726e-05
1666483200000,8,1.025e-05
1666512000000,8,2.352e-05
1666540800000,8,0.0001
1666569600000,8,9.274e-05
1666598400000,8,0.0001
1666627200000,8,-2.685e-05
1666656000000,8,-5.643e-05
1666684800000,8,3.537e-05
1666713600000,8,1.973e-05
1666742400000,8,0.0001
1666771200000,8,-2.452e-05
1666800000000,8,0.0001
1666828800000,8,8.299e-05
1666857600000,8,5.005e-05
1666886400000,8,-3.37e-05
1666915200000,8,2.272e-05
1666944000000,8,4.042e-05
1666972800000,8,1.87e-05
1667001600000,8,6.207e-05
1667030400000,8,8.203e-05
1667059200000,8,0.0001
1667088000000,8,7.735e-05
1667116800000,8,9.296e-05
1667145600000,8,0.0001
1667174400000,8,6.308e-05
1667203200000,8,0.0001
1667232000000,8,-2.88e-06
1667260800000,8,7.95e-06
1667289600000,8,-5.701e-05
1667318400000,8,1.321e-05
1667347200000,8,7.678e-05
1667376000000,8,2.913e-05
1667404800000,8,5.813e-05
1667433600000,8,-8.892e-05
1667462400000,8,-7.732e-05
1667491200000,8,2.55e-06
1667520000000,8,1.398e-05
1667548800000,8,9.293e-05
1667577600000,8,0.0001
1667606400000,8,9.19e-05
1667635200000,8,1.474e-05
1667664000000,8,5.826e-05
1667692800000,8,8.014e-05
1667721600000,8,0.0001
1667750400000,8,4.026e-05
1667779200000,8,2.594e-05
1667808000000,8,-2.72e-06
1667836800000,8,0.0001
1667865600000,8,-5.728e-05
1667894400000,8,-0.00011539
1667923200000,8,7.883e-05
1667952000000,8,-0.00038496
1667980800000,8,-0.00012169
1668009600000,8,-0.00054682
1668038400000,8,-0.00060149
1668067200000,8,-0.000543
1668096000000,8,-0.00015464
1668124800000,8,-0.00016788
1668153600000,8,-0.00013634
1668182400000,8,2.873e-05
1668211200000,8,9.985e-05
1668240000000,8,4.863e-05
1668268800000,8,9.984e-05
1668297600000,8,-9.28e-06
1668326400000,8,-8.449e-05
1668355200000,8,-1.748e-05
1668384000000,8,2.81e-05
1668412800000,8,2.254e-05
1668441600000,8,5.237e-05
1668470400000,8,-8.644e-05
1668499200000,8,4.951e-05
1668528000000,8,-4.197e-05
1668556800000,8,-9.137e-05
1668585600000,8,1.19e-06
1668614400000,8,-4.556e-05
1668643200000,8,-9.394e-05
1668672000000,8,2.558e-05
1668700800000,8,-0.00010849
1668729600000,8,-8.46e-05
1668758400000,8,-6.951e-05
1668787200000,8,-5.327e-05
1668816000000,8,6.481e-05
1668844800000,8,4.413e-05
1668873600000,8,5.99e-05
1668902400000,8,3.77e-06
1668931200000,8,5.73e-05
