cell_id,encoder,leverage,reward,episode,algorithm,architecture,target,config_name,test_return_mean,test_return_std,test_sharpe_mean,test_sharpe_std,test_mdd_mean,test_turnover_mean,test_n_liq_mean,seeds_completed
E0L0R1S1,LSTM,L=1,log_penalty,random_subs,PPO,portfolio,ALL,ppo_canonical,-0.5717269999952751,0.1799478588241197,-5.251542869702343,2.0779280690417767,0.5852390528306631,0.14591301454407152,0.0,5
E0L0R1S1,LSTM,L=1,log_penalty,random_subs,RecurrentPPO,asset,BTCUSDT,rppo_canonical,0.25086335573649915,0.10137503881188953,0.974919098328223,0.2903314718249557,0.2501168525785685,0.0007982192984239799,0.0,5
E0L0R1S1,LSTM,L=1,log_penalty,random_subs,RecurrentPPO,asset,ETHUSDT,rppo_canonical,0.0992490109268788,0.7445419506192421,0.023815856071364737,1.8373279709602381,0.47561458291730957,0.00466387101291018,0.0,5
E0L0R1S1,LSTM,L=1,log_penalty,random_subs,RecurrentPPO,asset,SOLUSDT,rppo_short_rollout,-0.08878817546829942,0.7208739640713077,-0.4247584464086912,1.7690414819346256,0.5373745619078302,0.00327844831486442,0.0,5
E0L0R1S1,LSTM,L=1,log_penalty,random_subs,RecurrentPPO,asset,XRPUSDT,rppo_canonical,-0.06565662031205406,0.5996211333137103,-0.2228946849193772,1.496482801671399,0.5039010104968888,0.0018973643135221402,0.0,5
E0L0R1S1,LSTM,L=1,log_penalty,random_subs,RecurrentPPO,portfolio,ALL,rppo_canonical,-0.5887349257442532,0.22344267737783788,-3.986231354444114,2.2082400790427608,0.6186865160283045,0.1996466778307568,0.0,5
E0L1R0S0,LSTM,L=3+liq,diff_sharpe,sequential,A2C,asset,BTCUSDT,a2c_sb3_default,-0.17925468293276653,0.5731329160058426,-0.22010081285171035,1.1871031648589006,0.6540919623963218,0.0003506311360448,0.0,5
E0L1R0S0,LSTM,L=3+liq,diff_sharpe,sequential,A2C,asset,ETHUSDT,a2c_sb3_default,-0.5150398360627374,0.6399944306824827,-0.7808743119822728,1.125551160940106,0.8184541134614219,0.031200003713829083,0.0,5
E0L1R0S0,LSTM,L=3+liq,diff_sharpe,sequential,A2C,asset,SOLUSDT,a2c_mnih_canonical,-0.0976683354242485,1.0634199216816695,-0.30120282689017647,1.6381705894527918,0.7586494951276546,0.0003506311360448,0.0,5
E0L1R0S0,LSTM,L=3+liq,diff_sharpe,sequential,A2C,asset,XRPUSDT,a2c_sb3_default,-0.19989610855938972,0.9127740264312333,-0.7630633613343935,2.168609831834069,0.7747933092150262,0.09502363900944456,0.2,5
E0L1R0S0,LSTM,L=3+liq,diff_sharpe,sequential,A2C,portfolio,ALL,a2c_sb3_default,0.16872711643470384,0.5532524886357922,0.42720727682223725,1.038555716226974,0.34530762286868055,0.0005259467040673,0.0,5
E0L1R0S0,LSTM,L=3+liq,diff_sharpe,sequential,PPO,asset,BTCUSDT,ppo_short_rollout,0.23826858740823353,0.46738849647362457,0.6456254457205141,0.9685920791525623,0.5290358024360453,0.00035063113395487997,0.0,5
E0L1R0S0,LSTM,L=3+liq,diff_sharpe,sequential,PPO,asset,ETHUSDT,ppo_canonical,0.006161879913037893,0.6356341228246948,0.2274869552081027,1.2082804928858004,0.6274736714548099,0.04731093794104166,0.0,5
E0L1R0S0,LSTM,L=3+liq,diff_sharpe,sequential,PPO,asset,SOLUSDT,ppo_canonical,0.15002615852353243,0.3613011223984566,0.39974849556208025,1.1987407490906392,0.5473461258669385,0.08886775790490363,0.0,5
E0L1R0S0,LSTM,L=3+liq,diff_sharpe,sequential,PPO,asset,XRPUSDT,ppo_short_rollout,-0.012296725307006628,0.7916532799931307,0.18754399775077912,1.2669743053591438,0.7209614393313137,0.0007960328766958201,0.0,5
E0L1R0S0,LSTM,L=3+liq,diff_sharpe,sequential,PPO,portfolio,ALL,ppo_short_rollout,0.05330934167864685,0.4269935740703912,0.7088004775767158,0.629106241113055,0.6711009504893474,0.10157473770761385,0.0,5
E0L1R0S0,LSTM,L=3+liq,diff_sharpe,sequential,RecurrentPPO,asset,BTCUSDT,rppo_short_rollout,-0.17999176909847453,0.5714978337628045,-0.2201650912428216,1.1844577001995047,0.6540919610765827,0.0003506311360448,0.0,5
E0L1R0S0,LSTM,L=3+liq,diff_sharpe,sequential,RecurrentPPO,asset,ETHUSDT,rppo_short_rollout,0.3575597084947493,0.6171712163707944,0.7854037210840449,0.9920849934627459,0.6239304134897152,0.00156262263258572,0.0,5
E0L1R0S0,LSTM,L=3+liq,diff_sharpe,sequential,RecurrentPPO,asset,SOLUSDT,rppo_canonical,-0.3882268849053502,0.8733387284498987,-2.261345663162593,3.3492399870706184,0.795396653382918,0.3212283414155582,0.4,5
E0L1R0S0,LSTM,L=3+liq,diff_sharpe,sequential,RecurrentPPO,asset,XRPUSDT,rppo_short_rollout,0.44796777859940207,0.7848401947577996,0.07116457772313459,2.84458937739976,0.6449098587135274,0.17094996836103157,0.2,5
E0L1R0S0,LSTM,L=3+liq,diff_sharpe,sequential,RecurrentPPO,portfolio,ALL,rppo_short_rollout,-0.40836225160917594,0.6446754177918604,-1.7832628357945968,2.854766237324479,0.7659202580757001,0.2089822746619979,0.0,5
E0L1R0S1,LSTM,L=3+liq,diff_sharpe,random_subs,A2C,asset,BTCUSDT,a2c_sb3_default,-0.17925468293276653,0.5731329160058426,-0.22010081285171035,1.1871031648589006,0.6540919623963218,0.0003506311360448,0.0,5
E0L1R0S1,LSTM,L=3+liq,diff_sharpe,random_subs,A2C,asset,ETHUSDT,a2c_sb3_default,-0.22454826095496574,0.7797256807300352,-0.24809767446501976,1.3458389355406744,0.7584726392560904,0.0003506311360448,0.0,5
E0L1R0S1,LSTM,L=3+liq,diff_sharpe,random_subs,A2C,asset,SOLUSDT,a2c_sb3_default,0.2906377173793698,1.0634199216816695,0.29697249636637596,1.638170589452792,0.6745798629415376,0.0003506311360448,0.0,5
